Crash_ID,Entry_Personnel,FIR_No,PS_Name,Date_Of_Crash,Victim_Vehicle_Type,VICTIMS_DP,Impacting_VehOrObject,OFFENDING_VEHICLE_DP,Note
3544,Ashwani,589,"NAJAFGARH",21-11-2021,Bicycle,Bicycle,Truck/Tractor,Car,"One speeding Truck had hit on car and then hit one cyclist , this resulted in damage to car and injuries to driver . The cyclist died on the spot ."
3548,Ashwani,227,"NANDNAGRI",26-03-2021,Pedestrian,Pedestrian,Unknown,Car,One Pedestrian was hit by unknown vehicle and when taken to hospital was DOA.
3549,Ashwani,448,"NANDNAGRI",25-07-2021,Pedestrian,M3W,M3W,Unknown,One Autorickshaw had hit pedestrian  .The pedestrian  died under treatment at hospital.
3552,Ashwani,656,"NANDNAGRI",29-09-2021,Pedestrian,Pedestrian,Unknown,MTW,One pedestrian was hit by unknown vehicle and taken to hospital by son . During traetment the victim died .
3553,Ashwani,122,"NANGLOI",06-03-2021,Car,Car,Truck/Tractor,Unknown,One alto car was hit head on by truck . The car driver was hit by the truck and sustained injuries. He was taken to hospital in PCR  where he was declared DOA .
3557,Ashwani,702,"NANGLOI",05-10-2021,MTW,MTW,Car,Truck/Tractor,One motorcyclist was hit by two over taking vehicles(medium heavy commercial). This resulted in his death.
3566,Ashwani,576,"NARAINA",20-10-2021,MTW,MTW,Car,Unknown,One EV Scooty was hit by unknown vehicle . Scooty rider was taken to hospital and was under treatment . After 05 days of treatment he died .
3568,Ashwani,628,"NARAINA",11-12-2021,Pedestrian,Pedestrian,Car,Unknown,One Pedestrian was hit by a speeding car . No details available of car . The victim declared dead by doctor in hospital .
3600,Ashwani,213,NEBSARAI,21-05-2021,Pedestrian,Pedestrian,Car,M3W,A pedestrian was hit by car while walking besides the road trying to avaoid a pit dug on the road  .
3616,Ashwani,419,NEWUSHMANPUR,04-07-2021,Pedestrian,Pedestrian,Car,Unknown,A pedestrian was hit by a car (details unknown) and taken to hospital by ralatives . He was under treatment for about 27 days and died during treatment.
3618,Ashwani,1159,NIHALVIHAR,26-09-2021,MTW,MTW,Truck/Tractor,Unknown,"A motorcyclist was hit by a dumper truck .After hitting the rider the truck ran over him , killing the rider on the spot."
3622,Ashwani,58,NORTHAVENUE,17-07-2021,Pedestrian,Pedestrian,Unknown,Bus,A lady was hit by unknown vehicle and admited to hospital by ambulance driver . No other details available of incident and victim .
3639,Ashwani,24,PANDAVNAGAR,10-01-2021,M3W,Truck/Tractor,Car,Car,One Auto driver (goods) had disemarked his vehicle when a car hit . He was take to hospital for treatment.
3677,Ashwani,543,PRASHANTVIHAR,19-08-2021,Pedestrian,Pedestrian,Car,Unknown,One pedestrian was hit by car when he was crossing road . He was declared DOA when taken by family.
3680,Ashwani,275,PREETVIHAR,05-08-2021,MTW,Pedestrian,Car,Unknown,One motorcycle rider was found injured on road and taken to hospital . He was under treatment when died .
3684,Ashwani,117,PREMNAGAR,25-02-2021,MTW,MTW,Truck/Tractor,Unknown,One bike was hit by truck . The Rider of bike died on  the spot and the pillion got injured . There are no details of the offending vehicle .
3686,Ashwani,756,PREMNAGAR,10-12-2021,M3W,Truck/Tractor,Truck/Tractor,Truck/Tractor,"One Tempo and truck collided , The tempo driver got injured and was taken to hospital in PCR van . There he was declared Dead by doctors ."
3687,Ashwani,6,PULPRAHLADPUR,04-01-2021,MTW,MTW,Unknown,M3W,One motorcyclist was hit by unknown vehicle . Injured was taken to hospital by Private vehicle .
3690,Ashwani,431,PULPRAHLADPUR,15-09-2021,Pedestrian,MTW,Unknown,Unknown,"One unknown vehicle had injured 02 pedestrian , they were taken to hospital where 01 was declared DOA ."
3692,Ashwani,502,PULPRAHLADPUR,18-11-2021,Pedestrian,Bicycle,Unknown,Unknown,One cyclist was hit by unknown vehice and he died on the spot due to injuries .
3699,Ashwani,10,PUNJABIBAGH,04-01-2021,Pedestrian,MTW,Unknown,Unknown,One pedestrian died due to injuries obtained from crash by unknow vehicle .
3704,Ashwani,79,PUNJABIBAGH,25-01-2021,MTW,MTW,Truck/Tractor,Unknown,One bike rider was found injured on road and taken to hospital by PCR van . He was hit by a truck .
3708,Ashwani,164,PUNJABIBAGH,26-02-2021,Bicycle,Pedestrian,Car,Car,One cyclist was hit from behind by a car . The rider fell off his cycle and sustained injuries .
3721,Ashwani,910,PUNJABIBAGH,06-10-2021,MTW,MTW,Truck/Tractor,Unknown,One scooty was hit from behind by a truck injurying the pillion rider and killing the rider.
3735,Ashwani,33,RAJOURIGARDEN,12-01-2021,MTW,MTW,Car,Unknown,One scooty rider was hit by an unknown car . No details of crash available .
3737,Ashwani,348,RAJOURIGARDEN,26-04-2021,MTW,MTW,Unknown,Bus,On crash site there were 04 vehicles found in accidental condition with one person dead onsite . No other details or victims recorded .
3762,Ashwani,332,ROHININORTH,19-07-2021,Pedestrian,Pedestrian,Car,Unknown,"One pedestrian was hit by a car and was taken to hospital by public , he died in hospital while undergoing treatment."
3771,Ashwani,80,SAGARPUR,15-02-2021,Pedestrian,Pedestrian,Truck/Tractor,Other,A pedestrian was hit by crane and died .
3774,Ashwani,70,SAKET,26-03-2021,MTW,MTW,MTW,Unknown,Two scootys crashed into each other causing injuries.
3778,Ashwani,248,SAKET,15-08-2021,Pedestrian,Bicycle,Bus,Bus,One DTC bus had hit 02 pedestrians on the road. Injuring both one of them later died due to injuries .
3786,Ashwani,247,SAMAYPURBADLI,29-04-2021,M3W,Truck/Tractor,Truck/Tractor,Truck/Tractor,One goods auto crashed into a truck from behind . The auto driver died due to injuries while under treatment in hospital .
3816,Ashwani,286,SARITAVIHAR,09-08-2021,MTW,MTW,MTW,Unknown,"A scooty and moped collided and caused injuries to both the drivers , when taken to hospital by autos onem of the rider was declared DOA ."
3818,Ashwani,428,SARITAVIHAR,08-12-2021,Pedestrian,Pedestrian,Unknown,Car,A pedestrian was hit and killed by unknown vehicle on road .
3826,Ashwani,211,SEEMAPURI,03-05-2021,M3W,M3W,Truck/Tractor,Unknown,"An auto was hit by unknown truck , causing injuries to auto driver"
3831,Ashwani,772,SEEMAPURI,08-09-2021,Pedestrian,Pedestrian,Car,Unknown,"A pedestrian was hit by a car , sideways causing internal injuries to the victim . He died in hospital while under treatment."
3837,Ashwani,496,SHAHBADDAIRY,30-08-2021,Pedestrian,Pedestrian,Truck/Tractor,Unknown,One pedestrian was hit and killed by truck on the spot .
3846,Ashwani,194,SHAHEENBAGH,10-06-2021,MTW,Pedestrian,Unknown,Unknown,A bike rider fell off the bike due to unknown reasons on his own .
3855,Ashwani,98,SHALIMARBAGH,17-02-2021,Pedestrian,Pedestrian,Truck/Tractor,Unknown,A pedestrian was injured as a truck almost hit her and she fell from flyover while saving herself from the truck.
3857,Ashwani,197,SHALIMARBAGH,05-04-2021,Pedestrian,Pedestrian,Other,Unknown,A pedestrian was hit by E Rickshaw and got injured . He was  taken to hospital by PCR Van and declared dead by doctor .
3868,Ashwani,10,SHASTRIPARK,03-01-2021,Pedestrian,Other,Bus,Bus,A hand cart puller was hit by DTC bus and died due to injuries.
3873,Ashwani,177,SHASTRIPARK,10-04-2021,MTW,Pedestrian,Unknown,Unknown,A bike rider was found injured on road and taken to Hospital.
3878,Ashwani,551,SHASTRIPARK,31-08-2021,Pedestrian,Pedestrian,M3W,Truck/Tractor,A pedestrian kid was hit by a tempo . While under treatment he passed away .
3891,Ashwani,822,SULTANPURI,04-07-2021,Other,Pedestrian,Truck/Tractor,Other,A E-Rickshaw rider was hit by a crane and got injured.
3901,Ashwani,410,SUNLIGHTCOLONY,01-09-2021,Pedestrian,Pedestrian,Unknown,Bus,Two pedestrians were hit by unknown vehicle injuring both of them . No other details available in records.
3904,Ashwani,454,SUNLIGHTCOLONY,04-10-2021,Pedestrian,Pedestrian,Unknown,Car,03 pedestrians were injured in a crash . They were hit by unknown vehicle and no other details were available .
3911,Ashwani,116,SWAROOPNAGAR,01-04-2021,Pedestrian,Pedestrian,Unknown,Car,A pedestrian was hit by unknown vehicle and killed the victim due to impact .
3913,Ashwani,339,SWAROOPNAGAR,30-06-2021,Pedestrian,Pedestrian,MTW,Unknown,"A pedestrian was hit by a bike , both the rider and pedestrian got injured  and were taken to hospital by CATS ambulance ."
3915,Ashwani,379,SWAROOPNAGAR,15-07-2021,Pedestrian,Other,Car,Truck/Tractor,A crane operator was hit by a car while he was on road trying to remove a broken down truck .
3916,Ashwani,465,SWAROOPNAGAR,19-08-2021,MTW,MTW,Truck/Tractor,Unknown,A bike was hit by a truck causing injuries to the rider and pillion rider . When the rider was taken to hospital was declared  DOA .
3918,Ashwani,539,SWAROOPNAGAR,07-10-2021,MTW,MTW,M3W,Truck/Tractor,A bike rider was hit by a goods tempo from behind . The bike rider applied sudden brakes whereas the tempo driver couldn't apply the brakes resulting in crash .
3921,Ashwani,432,TIGRI,05-11-2021,Pedestrian,MTW,Truck/Tractor,Truck/Tractor,A pedestrian was hit and run over by tractor .
3922,Ashwani,12,TILAKMARG,27-02-2021,MTW,MTW,Unknown,Bus,A bike rider was hit by unkown vehicle and was taken to hospital in CATS ambulance .
3925,Ashwani,125,TILAKMARG,18-09-2021,MTW,MTW,M3W,Truck/Tractor,A bike rider was hit by a goods tempo . Causing injury and death  of the bike rider .
3933,Ashwani,486,TILAKNAGAR,20-06-2021,MTW,MTW,M3W,Truck/Tractor,"A bike was hit from behind by a Goods tempo , causing fatal injuries to the pillion rider of the bike . When she was taken to hospital was declared DOA ."
3938,Ashwani,240,TIMARPUR,18-07-2021,MTW,Pedestrian,Unknown,Unknown,A bike rider fell from his bike due to unknown reasons and got injured .
3948,Ashwani,88,UTTAMNAGAR,06-02-2021,Pedestrian,Bus,Unknown,Bus,A pedestrian was hit by unknown vehicle and taken to hospital by public person where he was declared DOA .
3949,Ashwani,462,UTTAMNAGAR,18-06-2021,MTW,MTW,Bus,Unknown,A Scooty rider was crushed under the wheels on an unknown bus and died on the spot.
3954,Ashwani,878,UTTAMNAGAR,23-12-2021,Pedestrian,Bus,Bus,Bus,"A DTC bus ran over a pedestrian , no other details avaialable about the crash."
3955,Ashwani,191,VASANTKUNJNORTH,19-05-2021,MTW,MTW,Car,Truck/Tractor,A motorcycle was hit by unknown car both the rider and pillion  of bike  were killed in the crash.
3955,Ashwani,191,VASANTKUNJNORTH,19-05-2021,MTW,MTW,Car,Truck/Tractor,A motorcycle was hit by unknown car both the rider and pillion  of bike  were killed in the crash.
3957,Ashwani,347,VASANTKUNJNORTH,30-08-2021,Pedestrian,Truck/Tractor,Car,Car,The driver and pillion of Tempo were standing on road as their vehicle had broken down . They were hit by speeding car causing injuries to them .
3963,Ashwani,85,VASANTKUNJSOUTH,23-02-2021,MTW,MTW,Fixed object,Unknown,A bike overturned after hitting an electric pole  and  the rider got injured and died .
3969,Ashwani,73,VASANTKUNJSOUTH,15-02-2021,MTW,MTW,Unknown,Car,A bike rider was hit by unknown vehicle and got injured .
3981,Ashwani,49,VIKASPURI,21-01-2021,MTW,MTW,M3W,Unknown,A bike rider was hit from behind by an auto causing fall of the bike rider from the flyover and causing fatal injuries to him .
3982,Ashwani,54,VIKASPURI,24-01-2021,MTW,Car,Unknown,Car,A Scooty rider was hit by unknown car .He was taken to hospital by public person .
3987,Ashwani,402,VIKASPURI,09-07-2021,Bicycle,Bicycle,M3W,Truck/Tractor,A cyclist was hit by a tempo . The cyclist was taken to hospital and was declared DOA .
3993,Ashwani,626,VIKASPURI,13-10-2021,Pedestrian,MTW,Unknown,Unknown,"A pedestrian was brought dead to hospital by public person , no other details available ."
4003,Ashwani,251,VIVEKVIHAR,07-06-2021,MTW,M3W,Unknown,Unknown,A bike rider was found injured and taken to hospital by family person .
4005,Ashwani,670,VIVEKVIHAR,17-11-2021,MTW,MTW,Truck/Tractor,Unknown,A motorcycle was hit from behind by a truck . The rider of bike sustained fatal injuries .
4008,Ashwani,521,WAZIRABAD,07-07-2021,MTW,MTW,Truck/Tractor,Unknown,A bike was hit from behind by an unknown truck . The rider and pillion were taken to hospital by an auto driver . Upon reaching hospital the rider was declared DOA .
4009,Ashwani,540,WAZIRABAD,16-07-2021,M3W,Pedestrian,Other,M3W,An auto overturned due to high speed and injuring the passenger.
4015,Ashwani,834,WAZIRABAD,20-11-2021,Car,Truck/Tractor,Pedestrian,Car,A Tempo helper was checking the tyre of his vehicle when he was hit by another car and died on the spot .
4018,Ashwani,68,WELCOMECOLONY,24-01-2021,MTW,MTW,Unknown,MTW,A bike overturned injuring the rider and the pillion rider .
3451,Anisha,145,ALIPUR,03-04-2021,MTW,MTW,Truck/Tractor,Other,"The motorcyclist was hitted by a crane in which a generator was tied up which fall upon the motorcycle and the motorcyclist., due to which he died on the spot and the crane driver ran away from the site."
3456,Anisha,591,ALIPUR,23-07-2021,Car,Car,Truck/Tractor,Other,"4 ladies got into a car for a lift and then when the car driver moved his car through forward where a JCB crane was just at the right side of it, the crane's driver reversed his card and the front loader of the JCB wa pierced into the car due to which one of the lady died at the spot."
3463,Anisha,780,ALIPUR,###############################################################################################################################################################################################################################################################,Pedestrian,Truck/Tractor,Truck/Tractor,Truck/Tractor,The victim was been hit by the tempo from behind while he was pushing his car to park on side of the road.
3464,Anisha,840,ALIPUR,12-10-2021,Car,Bicycle,Bicycle,Truck/Tractor,A Mahendra Bolero vehicle driver hitted the cyclist and ran away from the site.
3465,Anisha,857,ALIPUR,18-10-2021,Pedestrian,Car,Unknown,Unknown,A pedestrian was hit by an unknown vehicle and he was dead at the spot.
3477,Anisha,243,AMARCOLONY,12-05-2021,Pedestrian,Pedestrian,Other,Car,A pedestrian who got down from a rickshaw was hit by a vehicle who ran away from the site.
3478,Anisha,25,ANANDPARBAT,11-02-2021,Pedestrian,Pedestrian,Unknown,Car,A child was hit by an unknown vehicle due to which he died on spot.
3479,Anisha,374,ANANDPARBAT,23-08-2021,Pedestrian,MTW,Car,Truck/Tractor,A pedestrian was hit by a vehicle due to which the he was dead on the spot with his scooty near him.
3482,Anisha,195,ANANDVIHAR,22-08-2021,Pedestrian,Pedestrian,Unknown,Car,A pedestrian was hit by an unknown vehicle.
3484,Anisha,167,ANANDVIHAR,30-07-2021,Pedestrian,Pedestrian,M3W,Unknown,A pedestrian was hit by an autorickshaw. The victim was injured and was unfit to give statement due to which no further information could be acquire.
3486,Anisha,28,ASHOKVIHAR,14-01-2021,Pedestrian,MTW,Car,Unknown,A motorcyclist and a pillioin rider was been hit by a car driver. They both fell down and the rider recovered himself but the pillion rider died because a truck driver at the same time came and drove his vehicle onto him.
3489,Anisha,427,ASHOKVIHAR,06-09-2021,MTW,MTW,MTW,Unknown,Two motorcyclist were been hit by each other and one of the motorcyclist was declared brought dead by the doctor.
3490,Anisha,444,ASHOKVIHAR,25-09-2021,Pedestrian,MTW,Truck/Tractor,Truck/Tractor,A pedestrian was cleaning his scooty when suddenly a speeding truck came and the driver drove his vehicle over the pedestrian due to which he died on the spot.
3493,Anisha,592,ASHOKVIHAR,30-11-2021,Pedestrian,Pedestrian,Truck/Tractor,Other,A pedestrian was been hit by a crane and the driver of the crane run over his vehicle onto the victim's hands and legs. The victim was injured and was been given medicine from a private doctor but then his conditional went critical due to which he died.
3494,Anisha,703,ASHOKVIHAR,30-12-2021,Pedestrian,Pedestrian,Truck/Tractor,Car,A pedestrian was been hit by a crane and the victim was taken to the hospital by a PCR car where during his treatment he was declared dead by the doctor.
3499,Anisha,102,BABAHARIDASNAGAR,18-03-2021,Pedestrian,MTW,Unknown,Unknown,The motorcyclist was hit by an unknown vehicle. The unknown vehicle had crushed the victim's head with helmet.
3501,Anisha,222,BABAHARIDASNAGAR,20-05-2021,Pedestrian,MTW,Car,Car,A pedestrian was hit by a car due to which the the victim died.
3507,Anisha,416,BABAHARIDASNAGAR,21-08-2021,Pedestrian,Pedestrian,Car,Unknown,A pedestrian was been hit by the car driver and ran away from the site. The victim was taken to the hospital and they refer to take him to higher center where the patient was declared brought dead.
3518,Anisha,122,BADARPUR,08-03-2021,MTW,MTW,Car,Unknown,A motorcyclist was been hit by a car. The victim was declared dead during the treatment.
3526,Anisha,366,AMARCOLONY,11-08-2021,Pedestrian,Bicycle,MTW,Unknown,A pedestrian was hit by a motorcycle and he was taken to the hospital by a pedestrian.
3529,Anisha,12,BAWANA,03-01-2021,MTW,MTW,Unknown,Car,"A motorcyclist who was drunk and a pillion rider were been hit by a car from their side due to which they fell and the motorcyclist was brutally injured whereas the pillion rider was having no injury. The car driver on seeing the motorcyclist injured, ran away from the spot."
3531,Anisha,131,BAWANA,12-03-2021,MTW,MTW,Unknown,Bus,A motorcyclist was been hit by an unknown vehicle and when taken the victim to the hospital he was declared as brought dead.
3540,Anisha,514,BAWANA,16-07-2021,Car,Bicycle,Bicycle,Truck/Tractor,A cyclist was been hit by a car. The victim was taken to the hospital by the same car where the doctor declared the victim as brought dead.
3550,Anisha,506,BEGUMPUR,06-11-2021,MTW,MTW,Fixed object,Unknown,A pillion rider got injured after been hit on the divider of the road. The doctor declared the pillion rider as brought dead.
3551,Anisha,578,BEGUMPUR,11-12-2021,Pedestrian,MTW,Unknown,Truck/Tractor,"A pedestrian was been hit by an unknown vehicle. When taken him to the hospital, the doctor declared him as brought dead."
3552,Anisha,266,BHAJANPURA,29-05-2021,MTW,MTW,MTW,Unknown,A scooty rider was been hit by a motorcyclist who ran away from the spot. After that a CAT ambulance came and where the scooty rider wa declared as dead.
3554,Anisha,28,BHALASWADAIRY,15-01-2021,MTW,MTW,Truck/Tractor,Other,A motorcyclist was been hit by a JCB tractor and the motorcyclist got injured and died on the spot.
3561,Anisha,338,BHALASWADAIRY,11-06-2021,Pedestrian,Pedestrian,Car,Unknown,A pedestrian was been hit by a car driver and ran away from the spot. The victim was taken to the hospital in an auto rickshaw where the doctor stated the victim as head injury.
3562,Anisha,600,BHALASWADAIRY,15-08-2021,Car,MTW,MTW,Unknown,A scooty rider and a pillion rider was been hit by a speeding car which was coming from behind and touched their scooty from right side. They lost their balance and fell due to which when taken to the hospital the doctor declared dead to the scooty rider.
3567,Anisha,515,BHARATNAGAR,26-08-2021,Car,Pedestrian,MTW,Unknown,A crash occurred between a two wheeler and a four wheeler. The two wheeler rider was taken to the hospital where the doctor as patient unconscious.
3570,Anisha,105,BINDAPUR,15-02-2021,Car,Pedestrian,Unknown,Car,A car met with a crash due to which the car's passenger was injured and was taken to the hospital where the doctor declared him as brought dead.
3578,Anisha,157,BURARI,10-03-2021,Pedestrian,Pedestrian,Truck/Tractor,Unknown,A pedesrian was been hit by a tempo. The victim was taken to the hospital by an unknown person in private vehicle where the doctor declared the victim as dead.
3580,Anisha,187,BURARI,22-03-2021,Pedestrian,Pedestrian,MTW,Unknown,A pedestrian was been hit by a motorcyclist. The pedestrain was then taken to the hospital by a public person where the victim was treated but later on the doctor declared that he died during the treatment.
3585,Anisha,107,CHANAKYAPURI,01-07-2021,M3W,MTW,MTW,Truck/Tractor,A TSR was been hit by a motorcylist. The motorcyclist and the pillion rider were taken to the hospital in different PCR vans where doctor declared them as brought dead.
3585,Anisha,107,CHANAKYAPURI,01-07-2021,M3W,MTW,MTW,Truck/Tractor,A TSR was been hit by a motorcylist. The motorcyclist and the pillion rider were taken to the hospital in different PCR vans where doctor declared them as brought dead.
3591,Anisha,58,CHHAWALA,28-01-2021,MTW,MTW,Truck/Tractor,Other,"A motorcylist and a pilliion rider were been hit by a JCB. The pillion rider was been injured more. When taken to the hospital, the doctor declared her as brought dead."
3597,Anisha,530,CHHAWALA,13-11-2021,Pedestrian,Pedestrian,Other,Truck/Tractor,A disembarked vehicle occupant was getting off from the vehicle when suddenly the driver of the truck started his truck and moved ahead due to which the victim fell and got injured. When taken to the hospital the victim was declared as brought dead.
3598,Anisha,551,CHHAWALA,28-11-2021,MTW,MTW,MTW,Unknown,Two motorcyclist got hit each other. One of the motorcylist was not found on the spot while the other motorcyclist was taken to the hospital where the doctor declared as brought dead.
3610,Anisha,240,CIVILLINES,19-06-2021,MTW,Pedestrian,Not Applicable,Unknown,A pillion rider fell from the motorcycle and was taken to the hospital by the motorcycle rider. The victim was been treated at the hospital where the doctor declared as patient unfit for the statement.
3614,Anisha,426,CIVILLINES,25-10-2021,Pedestrian,Pedestrian,Car,Truck/Tractor,A pedestrian was been hit by a speeding car and crushed upon the pedestrian's head. The pedestrian died on the spot.
3615,Anisha,428,CIVILLINES,27-10-2021,Pedestrian,Pedestrian,Unknown,MTW,The pedestrians were been hit by an unknown vehicle and were been taken to the hospital where one of the pedestrian died during the treatment and the other was been treated.
3625,Anisha,547,DABRI,08-07-2021,MTW,Pedestrian,Not Applicable,MTW,"A motorcyclist and a pillion rider fell from the motorcycle on their own and the pillion rider got injured. On reaching to the hospital, the doctor declared the pillion rider as brought dead."
3630,Anisha,1013,DABRI,02-12-2021,MTW,MTW,Not Applicable,Unknown,A motorcyclist and a pillion rider were self injured and were taken to the hospital by private ambulance where the pillion rider was declared as dead and the motoryclist was declared as patient unfit for the statement.
3643,Anisha,32,DEFENCECOLONY,07-03-2021,MTW,MTW,Unknown,Car,A motorcyclist was been hit by an unknown vehicle. The victim was been taken to the hospital where the doctor declared as patient unfir for the statement.
3655,Anisha,93,DELHICANNT,09-04-2021,MTW,MTW,Not Applicable,Unknown,A motorcyclist was self injured on the road and was dead on the spot.
3656,Anisha,148,DELHICANNT,10-05-2021,Car,Car,Not Applicable,Unknown,A car was found self crashed on the road where the driver was already taken to the hospital and the doctor declared him as brought dead.
3658,Anisha,204,DELHICANNT,13-06-2021,MTW,MTW,Not Applicable,Unknown,"A motorcyclist was injured as he fell from the scooty on his own. A private vehicle when took the victim to the hospital, the doctor declared him as brought dead."
3659,Anisha,240,DELHICANNT,07-07-2021,Pedestrian,Pedestrian,Unknown,Car,A pedestrian was been hit by an unknown vehicle and was been taken to the hospital where the patient was declared as unfit for the statement.
3663,Anisha,288,DELHICANNT,04-09-2021,Pedestrian,Bicycle,Car,Car,A pedestrian was been hit by a car who was coming at a very hight speed.
3665,Anisha,298,DELHICANNT,21-09-2021,Pedestrian,Truck/Tractor,Truck/Tractor,Truck/Tractor,A tempo driver hitted the disembarked vehicle occupant. The driver was injured and was taken to the hospital by the ambulance where the driver was declared dead and the pillion rider was treated at the hospital.
3670,Anisha,351,DELHICANNT,23-11-2021,Pedestrian,MTW,Unknown,Car,A pedestrian was been hit by an unknown vehicle. The victim was taken to the hospital where the doctor declared as patient unconscious.
3674,Anisha,371,DELHICANNT,11-12-2021,Unknown,Other,Other,Car,A hand cart puller was been hit by an unknown vehicle. The victim was been taken to the hospital where the doctor declared as patient unfirfor the statement.
3693,Anisha,291,DRAMBEDKARNAGAR,05-05-2021,MTW,Pedestrian,Not Applicable,Unknown,A motorcyclist got self injured by faliing off from the motorcycle due to cardiac arrest.
3694,Anisha,364,DRAMBEDKARNAGAR,26-05-2021,Unknown,MTW,MTW,Car,A motorcyclist was been hit by an unknown vehicle. The victim was taken to the hospital where the doctor declared as brought dead.
3700,Anisha,367,DWARKA,25-08-2021,MTW,MTW,Not Applicable,Unknown,A motorcyclist was self injured. His scooty was found on the spot whereas the victim was already taken to the hospital where the doctor declared as patient unfir to give statement.
3705,Anisha,26,DWARKANORTH,14-01-2021,MTW,MTW,Not Applicable,Unknown,A motorcyclist got self injured and was taken to the hospital where the doctor declared the victim as brought dead.
3707,Anisha,102,DWARKANORTH,28-02-2021,Pedestrian,MTW,Car,Car,The pedestrians and a disembarked vehicle occupant were been hit by a car. They were taken to the hospital where 2 were declared as unfit for the statement and the other person died.
3709,Anisha,120,DWARKANORTH,09-03-2021,MTW,MTW,Fixed object,Unknown,A motorcyclist and a pillion rider were self injured by getting hit on the divider. They were taken to the hospital where the doctor declared as victims unfit to give statement.
